time,open,high,low,close,volume,day_of_week,month,day_of_month,week_of_year,rsi,macd,macd_signal,macd_hist,bb_high,bb_low,bb_mavg,bb_width,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_50,rolling_std_50,target,garch_vol
2014-04-09 21:00:00+00:00,1.38542,1.38994,1.3836,1.3886,61373,2,4,9,15,60.596681894910375,0.000927614185120218,0.0004979381656555427,0.00042967601946467524,1.3937861901394635,1.3676578098605365,1.380722,1.8923708233030938,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.3846,0.004504930632097937,1.3781785714285715,0.006827059954259188,1.3783814285714284,0.005260915183828624,1.3813493333333333,0.006641224405874601,1.3749426,0.010830121036879805,1.38846,0.12203357394289455
2014-04-10 21:00:00+00:00,1.38865,1.39058,1.38634,1.38846,53186,3,4,10,15,60.41187913512107,0.0015393193615202971,0.0007062144048284937,0.0008331049566918035,1.3932757630229329,1.3679022369770673,1.380589,1.8378768805101027,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.3875133333333334,0.0017623090913191266,1.3798457142857143,0.007788630297090771,1.3787085714285714,0.00574890605934123,1.381622,0.006762619569979129,1.3757409999999999,0.010302600474181706,1.38206,0.12346402205503708
2014-04-13 21:00:00+00:00,1.38429,1.38633,1.38084,1.38206,59651,6,4,13,15,52.52567724658756,0.001490492142329325,0.00086306995232866,0.0006274221900006649,1.3916316954072414,1.3685323045927587,1.380082,1.6737694437347024,1.38846,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.3863733333333332,0.0037361120611333516,1.381282857142857,0.006986495817612681,1.3786707142857144,0.0057230673113776095,1.3819073333333334,0.0065864023633500106,1.3763326,0.009775428757233712,1.3814,0.12462326108876422
2014-04-14 21:00:00+00:00,1.38199,1.38334,1.37904,1.3814,56729,0,4,14,16,51.77506636641627,0.001382601960429053,0.0009669763539487386,0.0004156256064803143,1.3893321491967197,1.36963485080328,1.3794834999999999,1.4278748816814113,1.38206,1.38846,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.3839733333333335,0.0038995555302299484,1.382842857142857,0.005150138232078458,1.378895,0.005767091988169511,1.38215,0.0064216455083156935,1.3769242,0.009135826334619283,1.38155,0.12540029785970327
2014-04-15 21:00:00+00:00,1.38149,1.38513,1.38038,1.38155,53221,1,4,15,16,51.94315195693621,0.0012942822799042464,0.0010324375391398402,0.0002618447407644062,1.389136679548702,1.369654320451298,1.3793955,1.4123838375146078,1.3814,1.38206,1.38846,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.38167,0.0003459768778608501,1.3838957142857142,0.003605790977222464,1.3794328571428571,0.005626892062739613,1.3824243333333335,0.006203507730381877,1.3774884,0.00849846357302526,1.3814,0.12638395083660775
2014-04-16 21:00:00+00:00,1.38154,1.38648,1.38112,1.3814,48289,2,4,16,16,51.74890924663073,0.0011983704814315654,0.0010656241275981853,0.00013274635383338012,1.3893239833247768,1.369819016675223,1.3795715,1.4138423887093712,1.38155,1.3814,1.38206,1.38846,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.3814499999999998,8.660254046167685e-05,1.3841357142857142,0.0033266392307280063,1.379875,0.005511562322134802,1.382271,0.006168832310004369,1.377936,0.00808522436678294,1.38105,0.12732979097360458
2014-04-17 21:00:00+00:00,1.38134,1.38226,1.38074,1.38105,12806,3,4,17,16,51.26716427030666,0.0010816490383953603,0.0010688291097576204,1.2819928637739907e-05,1.3894348945962414,1.3698911054037588,1.379663,1.416562536828382,1.3814,1.38155,1.3814,1.38206,1.38846,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.3813333333333333,0.0002565800720003404,1.3835028571428574,0.0034474662883797473,1.3801700000000001,0.005451431710322867,1.3820446666666666,0.006081403384616525,1.378287,0.007822404570546195,1.37934,0.12818921158685773
2014-04-20 21:00:00+00:00,1.38132,1.38306,1.37872,1.37934,22392,6,4,20,16,48.87329534857912,0.0008414638731859547,0.0010233560624432873,-0.00018189218925733258,1.389014520553825,1.3698574794461749,1.3794359999999999,1.3887589643629747,1.38105,1.3814,1.38155,1.3814,1.38206,1.38846,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.3805966666666667,0.0011022855044622668,1.38218,0.0028985341122700343,1.3801792857142858,0.00544978117314547,1.3817666666666668,0.006005056107195289,1.3785834,0.007566705429790445,1.38058,0.12897409995624345
2014-04-21 21:00:00+00:00,1.37928,1.38248,1.3785,1.38058,42116,0,4,21,17,50.67201989314757,0.0007426126597234184,0.0009672073818993136,-0.0002245947221758952,1.3888212713972061,1.3698497286027944,1.3793355000000003,1.3754117685227203,1.37934,1.38105,1.3814,1.38155,1.3814,1.38206,1.38846,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.3803233333333333,0.0008834213792679444,1.3810542857142856,0.0008812842360762209,1.3804500000000002,0.005361894039638695,1.3815886666666666,0.005956647247971837,1.3789202,0.007261141612046943,1.38166,0.12963753166850803
2014-04-22 21:00:00+00:00,1.38058,1.38546,1.38004,1.38166,55984,1,4,22,17,52.2478048631281,0.0007428561516293897,0.0009223371358453289,-0.0001794809842159392,1.389029867643054,1.3699811323569462,1.3795055,1.3808379369352084,1.38058,1.37934,1.38105,1.3814,1.38155,1.3814,1.38206,1.38846,1.3886,1.38548,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.3805266666666667,0.001160919176061673,1.380997142857143,0.0008157351344146034,1.3811400000000003,0.0047809316761810725,1.3812973333333334,0.005719859495098389,1.3793672000000001,0.006695171589454636,1.3831,0.13038638005805206
